"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age","Socio-economic classification","Household income","Value","Value_type","Sample size","Standard Error","Lower CI","Upper CI"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Gypsy or Irish traveller","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","?","%","15","?","?","?"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Any other White background","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","15.18592581","%","1979","0.806736493","13.29","17.08337004"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Mixed","ONS 2011  5 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","21.85906449","%","375","2.134221325","16.84","26.87875305"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Mixed White and Black Caribbean","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","15.61519385","%","120","3.313715319","7.82","23.40905228"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Mixed White and Black African","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","16.18662511","%","63","4.640497508","5.27","27.10107525"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Mixed White and Asian","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","28.62136052","%","87","4.845846395","17.22","40.01879124"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Any other Mixed/Multiple ethnic background","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","25.92679357","%","105","4.276715175","15.87","35.98562766"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Asian","ONS 2011  5 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","16.32044332","%","2013","0.823670997","14.38","18.2577175"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Indian","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","15.61567465","%","795","1.287442089","12.59","18.64373844"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Pakistani","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","18.16756657","%","495","1.733039708","14.09","22.24367596"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Bangladeshi","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","17.94310651","%","182","2.844268943","11.25","24.63282707"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Chinese","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","15.4231686","%","165","2.81171007","8.81","22.03631068"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Any other Asian background","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.46112377","%","376","1.813797794","10.2","18.72717618"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Black","ONS 2011  5 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.92012596","%","968","1.145148966","12.23","17.61351633"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Black African","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.71864131","%","581","1.469849436","11.26","18.17572718"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Black Caribbean","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","16.07040102","%","323","2.043476605","11.26","20.87665799"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Any other Black background","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","11.57780986","%","64","3.999482984","2.17","20.98459384"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Other","ONS 2011  5 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","16.7146787","%","300","2.154133535","11.65","21.78120077"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Arab","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","20.45243071","%","100","4.033535855","10.97","29.93930704"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Any other ethnic group","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.77059044","%","200","2.508872956","8.87","20.67145963"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","13.63045557","%","31673","0.192792839","13.18","14.08390433"
"Proportion of adults who were victims of all CSEW crime ","White British","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","13.61880458","%","29366","0.20015051","13.15","14.08955858"
"Proportion of adults who were victims of all CSEW crime ","White Irish","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","9.65622603","%","296","1.716749661","5.62","13.69402123"
"Proportion of adults who were victims of all CSEW crime ","Gypsy or Irish traveller","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","?","%","21","?","?","?"
"Proportion of adults who were victims of all CSEW crime ","Any other White background","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.24307684","%","1990","0.78344762","12.4","16.08574564"
"Proportion of adults who were victims of all CSEW crime ","Mixed","ONS 2011  5 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","20.30271621","%","370","2.091211556","15.38","25.22124579"
"Proportion of adults who were victims of all CSEW crime ","Mixed White and Black Caribbean","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","20.20081968","%","121","3.649984549","11.62","28.78558334"
"Proportion of adults who were victims of all CSEW crime ","Mixed White and Black African","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","13.49227253","%","56","4.565370105","2.75","24.23002302"
"Proportion of adults who were victims of all CSEW crime ","Mixed White and Asian","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","17.36849186","%","105","3.697083376","8.67","26.06403196"
"Proportion of adults who were victims of all CSEW crime ","Any other Mixed/Multiple ethnic background","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","29.27157813","%","88","4.850412971","17.86","40.67974944"
"Proportion of adults who were victims of all CSEW crime ","Asian","ONS 2011  5 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.94892924","%","1956","0.806232889","13.05","16.845189"
"Proportion of adults who were victims of all CSEW crime ","Indian","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.654984","%","772","1.272837923","11.66","17.64869879"
"Proportion of adults who were victims of all CSEW crime ","Pakistani","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","15.69979449","%","498","1.630221547","11.87","19.53407557"
"Proportion of adults who were victims of all CSEW crime ","Bangladeshi","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","19.28904142","%","168","3.044156212","12.13","26.44889683"
"Proportion of adults who were victims of all CSEW crime ","Chinese","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","13.27547879","%","182","2.51512954","7.36","19.19106347"
"Proportion of adults who were victims of all CSEW crime ","Any other Asian background","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","12.54983677","%","336","1.807297767","8.3","16.80060112"
"Proportion of adults who were victims of all CSEW crime ","Black","ONS 2011  5 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","16.63803138","%","1026","1.16268286","13.9","19.37266147"
"Proportion of adults who were victims of all CSEW crime ","Black African","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","17.02714168","%","629","1.498696102","13.5","20.55207491"
"Proportion of adults who were victims of all CSEW crime ","Black Caribbean","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.27051605","%","318","1.961423543","9.66","18.88378422"
"Proportion of adults who were victims of all CSEW crime ","Any other Black background","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","22.21765119","%","79","4.677093513","11.22","33.21817513"
"Proportion of adults who were victims of all CSEW crime ","Other","ONS 2011  5 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.53976431","%","349","1.886896213","10.1","18.9777442"
"Proportion of adults who were victims of all CSEW crime ","Arab","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","17.97174942","%","141","3.233458905","10.37","25.57684476"
"Proportion of adults who were victims of all CSEW crime ","Any other ethnic group","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","12.07250058","%","208","2.259068039","6.76","17.38582861"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","13.93139879","%","35420","0.183990524","13.5","14.3641445"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16-24","All","All","19.58019869","%","2588","0.780023899","17.75","21.4148149"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","25-34","All","All","16.36415188","%","5309","0.507734438","15.17","17.55834328"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","35-44","All","All","16.09184863","%","5816","0.481828902","14.96","17.22511021"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","45-54","All","All","16.15636778","%","6196","0.467574914","15.06","17.25610398"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","55-64","All","All","11.98196848","%","5664","0.431507442","10.97","12.99687398"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","65-74","All","All","7.82028033","%","5592","0.359042014","6.98","8.664747146"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","75+","All","All","4.8534709","%","4255","0.329437405","4.08","5.628307676"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","Male","16+","All","All","14.15336601","%","16437","0.271881857","13.51","14.79283214"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","Female","16+","All","All","13.71861064","%","18983","0.249707281","13.13","14.30592217"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Managerial and professional occupations","All","14.03688987","%","12440","0.311444966","13.3","14.76940843"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Intermediate occupations","All","13.51445724","%","8293","0.375418119","12.63","14.39744066"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Routine and manual occupations","All","13.38187609","%","11883","0.312320032","12.65","14.1164528"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Never worked and long-term unemployed","All","15.13585373","%","1340","0.979068742","12.83","17.43862341"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Full time students","All","18.23540766","%","1140","1.143636349","15.55","20.92524035"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Not classified","All","6.05559954","%","324","1.325078228","2.94","9.172183531"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","Less than £10,000","13.9031799","%","3361","0.5967829","12.5","15.30681328"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","£10,000 to less than £20,000","13.39662923","%","6894","0.410231993","12.43","14.36149488"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","£20,000 to less than £30,000","13.83836062","%","5277","0.475341521","12.72","14.95636388"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","£30,000 to less than £40,000","13.98801371","%","4043","0.545513676","12.7","15.27106188"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","£40,000 to less than £50,000","14.57392053","%","2959","0.648650793","13.05","16.0995472"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","£50,000 or more","16.20464812","%","6808","0.446601311","15.15","17.2550544"
"Proportion of adults who were victims of all CSEW crime ","All","n/a","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","No income stated/Not enough information provided ","11.53548945","%","5986","0.41288984","10.56","12.50660635"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.69972095","%","93852","0.115586737","14.47","14.92627095"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","North East","ONS geography code","E12000001","All","16+","All","All","13.21541296","%","6167","0.431245619","12.37","14.06065437"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Cleveland","ONS geography code","E23000013","All","16+","All","All","16.46000528","%","1837","0.865182305","14.76","18.1557626"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Durham","ONS geography code","E23000008","All","16+","All","All","14.03838057","%","1991","0.778529673","12.51","15.56429873"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Northumbria","ONS geography code","E23000007","All","16+","All","All","11.66642894","%","2339","0.663768675","10.37","12.96741555"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","North West","ONS geography code","E12000002","All","16+","All","All","13.31178181","%","11548","0.316114739","12.69","13.9313667"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Cheshire","ONS geography code","E23000006","All","16+","All","All","10.94385868","%","1838","0.728189515","9.52","12.37111013"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Cumbria","ONS geography code","E23000002","All","16+","All","All","11.65055254","%","1822","0.751624614","10.18","13.12373678"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Greater Manchester","ONS geography code","E23000005","All","16+","All","All","14.4088041","%","3657","0.580719","13.27","15.54701334"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Lancashire","ONS geography code","E23000003","All","16+","All","All","15.83584046","%","2236","0.772055026","14.32","17.34906831"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Merseyside","ONS geography code","E23000004","All","16+","All","All","11.31434158","%","1995","0.7092019","9.92","12.7043773"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Yorkshire and the Humber","ONS geography code","E12000003","All","16+","All","All","14.88639454","%","8749","0.380552911","14.14","15.63227825"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Humberside","ONS geography code","E23000012","All","16+","All","All","17.29728292","%","1838","0.882218336","15.57","19.02643086"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","North Yorkshire","ONS geography code","E23000009","All","16+","All","All","9.221141973","%","1938","0.657215543","7.93","10.50928444"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","South Yorkshire","ONS geography code","E23000011","All","16+","All","All","18.00644396","%","1912","0.878738984","16.28","19.72877237"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","West Yorkshire","ONS geography code","E23000010","All","16+","All","All","14.06348235","%","3061","0.628352934","12.83","15.2950541"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","East Midlands","ONS geography code","E12000004","All","16+","All","All","16.15545347","%","8881","0.390540476","15.39","16.92091281"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Derbyshire","ONS geography code","E23000018","All","16+","All","All","13.09221909","%","1866","0.780872526","11.56","14.62272924"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Leicestershire","ONS geography code","E23000021","All","16+","All","All","20.46032488","%","1692","0.980726679","18.54","22.38254917"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Lincolnshire","ONS geography code","E23000020","All","16+","All","All","13.84638916","%","1878","0.796997969","12.28","15.40850518"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Northamptonshire","ONS geography code","E23000022","All","16+","All","All","19.79122386","%","1689","0.969465694","17.89","21.69137662"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Nottinghamshire","ONS geography code","E23000019","All","16+","All","All","15.04821541","%","1756","0.853230747","13.38","16.72054767"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","West Midlands Region","ONS geography code","E12000005","All","16+","All","All","14.55264134","%","8625","0.379700074","13.81","15.29685349"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Staffordshire","ONS geography code","E23000015","All","16+","All","All","12.68230203","%","1997","0.74466536","11.22","14.14184614"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Warwickshire","ONS geography code","E23000017","All","16+","All","All","14.97781815","%","1826","0.835102941","13.34","16.61461991"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","West Mercia","ONS geography code","E23000016","All","16+","All","All","11.57498584","%","1833","0.747251113","10.11","13.03959802"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","West Midlands","ONS geography code","E23000014","All","16+","All","All","17.58027824","%","2969","0.698591578","16.21","18.94951773"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","East","ONS geography code","E12000006","All","16+","All","All","14.90233325","%","11280","0.335298347","14.25","15.55951801"
